Month,Region,Crop Type,Rainfall (mm),Fertilizer Used (kg),Pesticide Usage (L),Temperature (°C),Soil Type,Market Access (%),Crop Yield (tons)
7,Nyanza,Wheat,94.25927078479428,70.35322933687004,7.799538868253844,24.601378894241186,Clay,60.9831017099673,1.84
4,Coast,Maize,157.1136051232495,55.42990621651296,9.4118983062766,25.826716068763897,Clay,87.48874780382835,8.22
11,Eastern,Tea,122.28052499588338,61.02952550479046,13.362937928518196,24.786200427260177,Clay,44.998548898162035,4.96
8,Coast,Maize,130.74369115453027,56.811784328009935,10.831210029413253,18.1513148467369,Loamy,47.57865780325534,6.8
5,Coast,Tea,181.13873705650127,57.813918418562885,4.8294986113909495,22.947451709770576,Sandy,72.04896093383128,4.08
7,Coast,Wheat,140.31343025158495,23.47055743377834,7.871325747491242,17.344956719846756,Sandy,70.38077916958407,6.69
10,Rift Valley,Tea,141.5318431619853,70.94635413242897,7.5705822671511545,28.109103322962554,Loamy,59.25139767363842,3.35
3,Eastern,Wheat,162.90029349239208,73.39179984855548,9.691115819107818,20.741836253645744,Loamy,82.14391653957829,5.81
7,Eastern,Beans,105.40189081828458,45.41218511863944,11.703374634519317,27.76621082837969,Sandy,77.96341471323925,2.87
11,Central,Beans,86.43161330643974,49.13046100372275,11.672823023551889,26.837608931052436,Sandy,82.87208606401023,1.22
11,Nyanza,Beans,78.20763223915866,19.377849948885558,2.8959529838063913,21.298228942391816,Loamy,68.15295346971598,3.16
8,Coast,Tea,41.345736424959924,60.2850951203567,14.255763950243423,20.601645146196766,Loamy,79.03870401967511,7.9
5,Western,Beans,202.2482851976129,61.441148834282885,11.010275383986494,25.051110649159014,Clay,63.31524545455008,12.75
4,Nyanza,Maize,75.87166537113268,48.75617966001378,15.538128190375625,21.467027888450787,Clay,100.0,5.0
8,Nyanza,Wheat,111.14985505656912,72.48706719741006,11.776793309162688,24.307453926474622,Sandy,57.81181344817021,8.27
8,Eastern,Wheat,108.92746800444317,43.31845538040119,14.40529183094305,22.551517227579247,Loamy,100.0,5.74
3,Nyanza,Maize,132.29626791236404,61.292118517872005,11.866181245800508,18.656524756603098,Sandy,70.52331920634113,6.89
6,Coast,Tea,152.62948850157187,29.606713226157687,15.384903024810992,17.308595942626624,Clay,49.367336656468865,4.17
5,Coast,Tea,154.4189395343898,49.52895698251524,12.089002544071114,24.680052745483792,Clay,90.52119025732901,6.69
